init_x,init_y,final_x,final_y,time_delay,true_h0,radial_r,polar_theta,r_inv,nfw_profile,log_delay,x_times_delay,y_times_delay,x_squared,y_squared,xy_cross,delay_squared,r_times_delay,dist_to_sub_x,dist_to_sub_y,dist_to_sub_r,predicted_init_x,residual_init_x,predicted_init_y,residual_init_y
-0.806689,-0.014989,0.276514,-0.004295,263.95909,70.0,0.27654735439161227,-0.015531418447937663,3.616004160284854,2.832646184633035,5.5795754367103205,72.98838381226,-1.13370429155,0.07645999219599998,1.8447025000000003e-05,-0.00118762763,69674.4011936281,72.99718800711747,-1.723486,-1.504295,2.2876423320136827,-0.24864721552664837,-0.5580417844733516,0.015767888789662694,-0.030756888789662692
0.074394,0.335376,-0.014488,-0.002043,343.928542,70.0,0.014631335995048435,-3.001503076308613,68.34178769120658,67.35634177503721,5.843337270940409,-4.982836716495999,-0.702646011306,0.00020990214399999998,4.1738490000000005e-06,2.9598984e-05,118286.84200224576,5.032134056289127,-2.014488,-1.502043,2.512826113361806,0.013854605371182493,0.06053939462881751,0.0874636073087882,0.2479123926912118
0.667292,-0.826978,0.535375,-0.490121,140.363683,70.0,0.7258408815064084,-0.7412978850787719,1.3777105254998585,0.7982840935951816,4.951335881718447,75.14720678612501,-68.795188675643,0.28662639062500006,0.24021859464099998,-0.262398530375,19701.963505324493,101.88169940020607,-1.4646249999999998,-1.990121,2.4709730846907254,0.2954713359605707,0.3718206640394293,-0.6822797230372742,-0.14469827696272575
0.98345,0.837876,0.886921,0.839806,131.122992,70.0,1.2214348029579802,0.7581192057640388,0.8187086030868558,0.3685496286211146,4.883733246345492,116.295735187632,110.11787541955202,0.786628860241,0.7052741176360001,0.744841577326,17193.239031032066,160.15818589678082,-1.113079,-0.660194,1.2941410193162874,0.5686532411262727,0.41479675887372736,0.8281803556400261,0.009695644359973832
0.182815,0.566775,0.019429,-0.063474,294.353715,70.0,0.06638098159111538,-1.2737582781427046,15.064328843925937,14.126605059892507,5.688173671971074,5.718998328735,-18.683807705910002,0.00037748604099999996,0.004028948676,-0.0012332363459999999,86644.10953430124,19.539488536691426,-1.980571,-1.563474,2.523313780471426,0.03701025044438772,0.1458047495556123,0.22829426676708744,0.3384807332329126
-0.213178,-0.880174,-1.256778,-0.387246,113.777107,70.0,1.31508570283461,-2.842697570563659,0.7604061373630692,0.32845715598732583,4.74299204762307,-142.992564981246,-44.059729577321995,1.579490941284,0.14995946451599998,0.486682253388,12945.230077289449,149.6266467255836,-3.2567779999999997,-1.887246,3.764080286842989,-0.08827884477703696,-0.12489915522296305,-0.5616828447312515,-0.3184911552687485
0.921487,-0.566147,0.434784,-0.275118,157.054768,70.0,0.5145163171173486,-0.5641667832240176,1.9435691797559553,1.283294502067336,5.062941605875051,68.284900250112,-43.208593662624,0.189037126656,0.07568991392399999,-0.119616904512,24666.200151533823,80.8072408170796,-1.565216,-1.775118,2.3666315810831224,0.32756111546279026,0.5939258845372097,-0.4640286317284931,-0.10211836827150683
0.762529,-0.178281,0.244186,-0.09724,247.940695,70.0,0.26283534807175385,-0.3789718406210847,3.8046488141244525,3.0127853426875677,5.517214695406325,60.54364654927,-24.1097531818,0.05962680259599999,0.009455617599999999,-0.02374464664,61474.58823708303,65.16757887147756,-1.755814,-1.59724,2.3736171595680715,0.23389551423317353,0.5286334857668264,-0.08600481521806598,-0.09227618478193401
-0.373173,0.08657,0.110591,-0.005733,327.448208,70.0,0.110739498689492,-0.051793299074151505,9.030120072006579,8.129834414299477,5.794379163394233,36.212824770928,-1.8772605764640002,0.012230369280999999,3.2867289000000006e-05,-0.000634018203,107222.32892241128,36.2614504006925,-1.8894090000000001,-1.505733,2.4160087409961912,-0.07877475295779766,-0.2943982470422023,0.026316506612891265,0.060253493387108725
0.983193,0.520553,-0.045393,-0.075587,159.640143,70.0,0.08816983054310584,-2.1116126261981507,11.341619375028003,10.422665175264378,5.079166726692211,-7.246545011199,-12.066719488941,0.002060524449,0.005713394569,0.0034311206910000005,25484.975257060447,14.075444356187184,-2.045393,-1.575587,2.5818805005301853,0.2219040202824523,0.7612889797175477,0.29829240274046165,0.2222605972595384
