init_x,init_y,final_x,final_y,time_delay,true_H0
0.839434,0.372382,111.146596,-26.120618,50.050000,70.000000
0.624145,0.011011,162.530766,15.795160,50.050000,70.000000
-0.936115,0.714453,25.407237,-40.379640,50.050000,70.000000
-0.185917,-0.709162,-1.321835,-60.429027,50.050000,70.000000
-0.883472,-0.507208,-408.326706,131.363438,50.050000,70.000000
-0.643114,-0.810853,1.394307,59.727237,50.050000,70.000000
-0.007603,0.221303,249.777346,1523.970733,50.050000,70.000000
-0.558761,0.897777,2.117056,19.474620,50.050000,70.000000
0.936277,0.005382,-188.940756,1.290304,50.050000,70.000000
0.461128,0.181942,-270.082998,1495.008529,50.050000,70.000000
-0.105382,0.843088,-145.584150,41.704122,50.050000,70.000000
-0.222535,-0.150031,225.823488,280.953925,50.050000,70.000000
0.431738,0.224246,169.824879,-75.376567,50.050000,70.000000
0.903345,0.511197,13.748734,3.987638,50.050000,70.000000
-0.319823,0.733629,-53.541220,11.016521,50.050000,70.000000
0.107867,0.912392,-49.571928,-169.736272,50.050000,70.000000
0.575970,0.333165,101.467427,-38.602400,50.050000,70.000000
-0.488396,-0.476188,149.592953,149.291238,50.050000,70.000000
0.716329,-0.663431,-38.907350,-12.337780,50.050000,70.000000
-0.276800,-0.170318,0.858095,0.979972,50.050000,70.000000
-0.528656,0.876494,1.967941,-1.084069,50.050000,70.000000
-0.765222,0.910374,-34.848619,-15.855795,50.050000,70.000000
0.649646,0.595326,48.643896,-8.047374,50.050000,70.000000
-0.353841,0.991841,20.455457,3.862593,50.050000,70.000000
-0.129181,0.852695,102.185771,-227.852916,50.050000,70.000000
-0.760468,0.819013,-76.108968,-54.563256,50.050000,70.000000
-0.856611,0.943895,0.040128,-0.116869,50.050000,70.000000
0.050121,0.383922,-23.334368,-96.127425,50.050000,70.000000
0.575882,0.852276,-163.833396,157.121263,50.050000,70.000000
0.194407,-0.604043,-83.257815,106.465631,50.050000,70.000000
-0.144334,0.185441,297.454505,-93.112565,50.050000,70.000000
0.703882,0.141491,1109.247234,582.601404,50.050000,70.000000
0.047347,-0.230826,-172.410127,404.581917,50.050000,70.000000
0.514394,-0.585725,61.543674,-4.787536,50.050000,70.000000
-0.277444,0.994465,-2.309218,-109.392544,50.050000,70.000000
-0.019451,-0.911819,53.498005,496.692981,50.050000,70.000000
-0.940364,-0.691462,5.685990,3.431812,50.050000,70.000000
