init_x,init_y,final_x,final_y,time_delay,true_H0
-0.806689,-0.014989,0.276514,-0.004295,263.959090,70.000000
0.074394,0.335376,-0.014488,-0.002043,343.928542,70.000000
0.667292,-0.826978,0.535375,-0.490121,140.363683,70.000000
0.983450,0.837876,0.886921,0.839806,131.122992,70.000000
0.182815,0.566775,0.019429,-0.063474,294.353715,70.000000
-0.213178,-0.880174,-1.256778,-0.387246,113.777107,70.000000
0.921487,-0.566147,0.434784,-0.275118,157.054768,70.000000
0.762529,-0.178281,0.244186,-0.097240,247.940695,70.000000
-0.373173,0.086570,0.110591,-0.005733,327.448208,70.000000
0.983193,0.520553,-0.045393,-0.075587,159.640143,70.000000
0.940439,-0.041950,0.361683,0.119540,218.505166,70.000000
0.945348,0.466515,-0.555689,0.311675,169.140786,70.000000
0.713859,-0.164147,0.296898,-0.040650,247.034731,70.000000
-0.812155,0.110996,-0.057867,0.004390,203.875736,70.000000
-0.492904,-0.232452,-0.152146,0.005343,290.147004,70.000000
-0.825462,0.458955,-0.519301,0.435613,173.065371,70.000000
-0.349468,0.488617,0.130383,0.162167,235.349858,70.000000
0.190097,0.962581,0.312711,-0.539503,166.939285,70.000000
0.101814,-0.806898,0.246238,0.859629,123.161287,70.000000
0.469625,0.983018,-0.200383,-0.427819,151.383040,70.000000
-0.418405,-0.129765,-0.074382,0.001596,325.990565,70.000000
-0.952541,0.647808,0.760528,0.369562,153.187862,70.000000
-0.286478,-0.839790,-0.375011,0.053518,197.021505,70.000000
-0.358427,-0.090633,0.019672,-0.002470,341.203920,70.000000
0.724676,-0.369187,-0.405285,-0.200477,203.549476,70.000000
-0.932591,-0.061501,-0.668970,-0.010841,169.058609,70.000000
0.352183,-0.868413,0.192472,0.223371,194.284486,70.000000
0.575425,-0.826504,-0.370071,-0.194351,145.249354,70.000000
0.945872,-0.721072,0.808491,-0.586795,140.171603,70.000000
0.947931,-0.127408,-0.966526,0.139023,165.344172,70.000000
0.649889,0.692650,0.475363,0.113159,156.963967,70.000000
-0.638690,-0.465041,-0.515178,-0.281801,187.445077,70.000000
0.057084,-0.581037,-0.273674,-0.389939,182.721435,70.000000
0.504432,-0.007150,-0.177597,0.005010,316.679922,70.000000
-0.169118,-0.367350,-0.044140,-0.002301,331.581835,70.000000
-0.047453,0.459546,-0.198882,0.271799,215.406911,70.000000
-0.409682,0.477995,-0.217991,0.000982,246.840141,70.000000
-0.337713,0.058829,-0.134375,0.000962,351.648722,70.000000
0.738483,-0.319812,0.433802,-0.032561,217.791673,70.000000
0.919913,0.970300,-0.677052,0.686157,126.213697,70.000000
-0.169729,-0.633590,0.060936,0.097110,286.261280,70.000000
-0.741050,-0.821843,-0.597090,-0.430883,139.926866,70.000000
-0.720232,-0.945680,-0.673430,-0.903895,130.922783,70.000000
-0.050379,-0.716490,0.197260,0.129595,224.845353,70.000000
-0.053869,0.619832,0.075217,0.004411,264.608170,70.000000
-0.486338,0.120153,-0.206977,-0.012788,308.511687,70.000000
-0.595789,0.573647,-0.634620,0.406744,173.134601,70.000000
-0.707034,0.878387,0.700046,0.663857,135.729026,70.000000
-0.948840,0.849756,-0.568337,0.869918,131.210646,70.000000
-0.146141,-0.196368,-0.069108,0.007411,362.893042,70.000000
-0.358934,-0.607163,0.169772,-0.080623,207.113768,70.000000
-0.591777,0.008885,0.267191,0.001896,266.993808,70.000000
-0.667748,-0.844977,-0.698641,-0.724630,140.148953,70.000000
0.468967,-0.067064,-0.107270,0.006536,324.230484,70.000000
0.852365,-0.306593,0.287236,-0.018252,211.503059,70.000000
-0.908404,0.454237,-0.319112,-0.017255,166.210814,70.000000
0.362508,0.678398,-0.229023,0.223694,204.802579,70.000000
-0.167633,0.596780,-0.105706,0.188031,207.878867,70.000000
0.086126,-0.486404,-0.029672,0.090300,218.258572,70.000000
-0.985980,0.642462,0.203323,0.116933,167.937333,70.000000
-0.148960,0.435221,-0.007234,-0.104431,223.715572,70.000000
0.753655,0.673520,-0.494011,0.282591,153.029538,70.000000
-0.154032,-0.812035,0.012370,-0.022769,263.593057,70.000000
0.125409,-0.244689,0.039741,0.000461,346.735657,70.000000
-0.489783,0.214693,-0.238904,-0.007804,286.939014,70.000000
0.352658,-0.882418,-0.682522,-0.085215,152.981001,70.000000
-0.791705,-0.178158,0.265151,0.253446,202.327981,70.000000
-0.294113,0.836915,1.678072,-0.126864,107.632589,70.000000
0.025823,0.010799,-0.004958,0.000005,304.020162,70.000000
-0.508477,0.027980,0.096464,0.004259,315.607388,70.000000
0.253556,-0.479179,-0.425219,-0.007962,139.320143,70.000000
0.445477,-0.865726,0.051580,-0.119613,152.564690,70.000000
-0.252274,0.031403,0.117058,0.001112,365.020736,70.000000
-0.210640,-0.220435,0.019961,0.004431,355.843983,70.000000
