init_x,init_y,final_x,final_y,time_delay,true_H0
-0.810962,0.165378,0.022578,-0.006154,206.622675,70.000000
-0.486112,-0.087596,-0.083871,-0.003882,318.618162,70.000000
-0.223620,-0.378694,-0.101503,0.044734,309.848611,70.000000
-0.702911,0.177741,-0.822092,-0.218421,193.769274,70.000000
-0.713023,0.224454,-0.114643,-0.023910,238.049728,70.000000
0.394688,-0.481513,0.278336,0.038383,243.894780,70.000000
-0.785592,0.557480,0.592544,0.515963,161.070406,70.000000
-0.427524,0.605413,0.512124,0.122159,202.881476,70.000000
-0.820736,-0.116640,0.325585,-0.093227,214.118920,70.000000
-0.361753,0.024692,-0.023136,0.001638,297.847331,70.000000
0.993097,0.980149,0.808367,0.953155,120.879756,70.000000
-0.635899,0.448189,0.549196,0.321967,190.550814,70.000000
0.706737,0.132741,0.089751,-0.006584,287.822295,70.000000
0.975015,-0.928758,-0.733647,-0.778865,125.737433,70.000000
0.371447,0.917483,-0.190389,-0.842506,137.551272,70.000000
0.139364,0.298825,-0.040176,-0.001713,346.006752,70.000000
0.351197,0.572993,-0.255197,-0.057916,246.199688,70.000000
0.289388,-0.253306,-0.068474,0.007356,345.076756,70.000000
0.681156,0.192977,-0.339080,0.072181,250.156193,70.000000
-0.636788,-0.491896,0.324515,-0.074392,183.139623,70.000000
0.698364,-0.602221,-0.644355,-0.508316,161.059017,70.000000
0.474880,-0.684478,-0.018363,0.085838,177.750133,70.000000
-0.015620,-0.526283,-0.081613,0.059393,295.822157,70.000000
0.769016,0.859274,-0.750820,0.807307,135.302993,70.000000
-0.174966,-0.649815,0.137715,-0.266596,158.882840,70.000000
0.561260,-0.903045,0.556860,-0.680857,139.908553,70.000000
0.527342,-0.967548,-1.082914,-0.522822,135.512067,70.000000
0.416747,0.260564,0.089553,-0.031937,278.411741,70.000000
-0.692619,-0.841404,-0.655778,-0.637801,139.808919,70.000000
0.520307,0.804469,-0.502987,0.619917,152.912139,70.000000
0.709301,-0.776851,-0.708596,-0.627914,144.271989,70.000000
-0.534102,-0.657027,0.687939,-0.401258,168.821625,70.000000
-0.649509,-0.292307,-0.336605,0.008522,233.674660,70.000000
-0.810469,0.452689,0.500382,0.413220,176.298420,70.000000
0.351601,-0.634345,-0.411562,-0.028279,202.626034,70.000000
0.566473,0.717933,0.641683,0.480234,157.018701,70.000000
