mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58196.23339,-12.04324,0.01574,-10.83760,0.02989,EulerCAM
58201.16032,-12.02356,0.00326,-10.80621,0.00680,EulerCAM
58205.13066,-12.00527,0.00637,-10.80427,0.01406,EulerCAM
58211.19035,-11.98675,0.01574,-10.81620,0.02989,EulerCAM
58212.28232,-11.96461,0.00641,-10.84201,0.02997,EulerCAM
58213.15920,-11.96296,0.00794,-10.76149,0.03641,EulerCAM
58215.25292,-11.95239,0.00420,-10.85053,0.00982,EulerCAM
58217.12376,-11.95806,0.00391,-10.78049,0.02057,EulerCAM
58221.12571,-11.92413,0.00625,-10.80142,0.00577,EulerCAM
58223.27594,-11.96873,0.01574,-10.79644,0.02989,EulerCAM
58225.12911,-11.94902,0.01574,-10.75033,0.02989,EulerCAM
58227.21283,-11.94787,0.00422,-10.77426,0.00787,EulerCAM
58231.24766,-11.99176,0.01134,-10.77889,0.00632,EulerCAM
58233.13087,-11.93543,0.00475,-10.72336,0.01941,EulerCAM
58238.21478,-11.96988,0.00564,-10.77408,0.03853,EulerCAM
58259.12897,-11.91915,0.00516,-10.71696,0.00710,EulerCAM
58261.15127,-11.90904,0.00860,-10.74178,0.00818,EulerCAM
58265.12638,-11.88581,0.00536,-10.69555,0.02287,EulerCAM
58270.08363,-11.89416,0.00738,-10.66806,0.02355,EulerCAM
58274.02774,-11.82819,0.00384,-10.73668,0.01652,EulerCAM
58275.02870,-11.86380,0.00637,-10.67030,0.02538,EulerCAM
58277.09281,-11.86474,0.01132,-10.72887,0.00754,EulerCAM
58285.99313,-11.87124,0.01023,-10.69477,0.01050,EulerCAM
58287.01261,-11.82147,0.00796,-10.68847,0.00633,EulerCAM
58288.00922,-11.86818,0.01574,-10.71475,0.02989,EulerCAM
58298.04086,-11.81298,0.00934,-10.64798,0.01043,EulerCAM
58311.01524,-11.86210,0.00426,-10.77738,0.02841,EulerCAM
58314.00891,-11.88494,0.00547,-10.78945,0.00739,EulerCAM
58320.99120,-11.88282,0.01787,-10.66902,0.02244,EulerCAM
58322.96449,-11.87731,0.00778,-10.78812,0.02791,EulerCAM
